work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,Mid Level,Full-Time,Machine Learning Engineer,241200,United States,On-site,United States,M
2024,Mid Level,Full-Time,Machine Learning Engineer,142800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Governance Specialist,173279,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Governance Specialist,123771,United States,On-site,United States,M
2024,Senior Level,Full-Time,Product Manager,181800,Canada,On-site,Canada,M
2024,Senior Level,Full-Time,Product Manager,118050,Canada,On-site,Canada,M
2024,Mid Level,Full-Time,Data Analyst,96800,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,60600,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analytics Specialist,121500,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analytics Specialist,72900,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,106000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,83000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,220900,United States,On-site,United States,M
2024,Mid Level,Full-Time,Manager,146800,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Engineer,171102,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Engineer,282200,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Engineer,133600,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,198072,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,141480,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,118100,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Analyst,53500,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,104936,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analyst,69957,United States,On-site,United States,M
2024,Mid Level,Full-Time,Associate,132500,United States,On-site,United States,M
2024,Senior Level,Full-Time,Solutions Engineer,90000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Consultant,167687,United States,On-site,United States,M
2024,Senior Level,Full-Time,Consultant,100612,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Engineer,164000,United States,Remote,United States,M
2024,Senior Level,Full-Time,Data Product Owner,212124,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Product Owner,127274,United States,On-site,United States,M
2024,Senior Level,Full-Time,Business Intelligence Engineer,161800,United States,Remote,United States,M
2024,Senior Level,Full-Time,Business Intelligence Engineer,97100,United States,Remote,United States,M
2024,Senior Level,Full-Time,Machine Learning Engineer,170040,United States,On-site,United States,M
2024,Senior Level,Full-Time,Machine Learning Engineer,113360,United States,On-site,United States,M
2024,Mid Level,Full-Time,Research Scientist,252000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Analytics Engineer,100000,United States,On-site,United States,M
2024,Mid Level,Full-Time,Software Engineer,142000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Software Developer,128800,United States,Remote,United States,M
2024,Senior Level,Full-Time,Software Developer,67700,United States,Remote,United States,M
2024,Senior Level,Full-Time,Engineer,171350,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineering Manager,157500,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Analytics Developer,145537,United States,Remote,United States,M
2024,Mid Level,Full-Time,Data Analytics Developer,119076,United States,Remote,United States,M
2024,Senior Level,Full-Time,Data Engineer,227600,United States,On-site,United States,M
2024,Senior Level,Full-Time,Data Engineer,107500,United States,On-site,United States,M
2024,Mid Level,Full-Time,Data Governance Analyst,125000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Data Governance Analyst,100000,United States,Remote,United States,M
2024,Senior Level,Full-Time,DevOps Engineer,105420,United States,On-site,United States,M
2024,Senior Level,Full-Time,DevOps Engineer,88340,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,69150,United Kingdom,On-site,United Kingdom,M
2024,Senior Level,Full-Time,Engineer,52650,United Kingdom,On-site,United Kingdom,M
2024,Mid Level,Full-Time,Software Engineer,231000,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,183800,United States,Remote,United States,M
2024,Senior Level,Full-Time,Engineer,153200,United States,Remote,United States,M
2024,Senior Level,Full-Time,Research Scientist,260000,United States,On-site,United States,L
2024,Senior Level,Full-Time,Research Scientist,150400,United States,On-site,United States,L
2024,Mid Level,Full-Time,Solutions Architect,177800,United States,On-site,United States,L
2024,Mid Level,Full-Time,Solutions Architect,79600,United States,On-site,United States,L
2024,Senior Level,Full-Time,Systems Engineer,166800,United States,Remote,United States,M
2024,Senior Level,Full-Time,Systems Engineer,139000,United States,Remote,United States,M
2024,Mid Level,Full-Time,Data Engineer,94444,Netherlands,On-site,Netherlands,M
2024,Mid Level,Full-Time,Data Engineer,58333,Netherlands,On-site,Netherlands,M
2024,Mid Level,Full-Time,Manager,105400,United States,On-site,United States,M
2024,Senior Level,Full-Time,Engineer,285000,United States,Remote,United States,M
